Timestamp,What year are you in?,Is hotdog a sandwich?
2025-08-31 11:50:38.697,4,0
2025-08-31 11:51:09.014,4,0
2025-08-31 11:51:09.431,4,1
2025-08-31 11:51:13.554,3,0
2025-08-31 11:51:16.063,3,0
2025-08-31 11:53:54.638,2,0
2025-08-31 12:00:42.795,2,0
2025-08-31 12:04:11.085,3,1
2025-08-31 12:22:31.280,3,0
2025-08-31 12:25:05.049,4,0
2025-08-31 12:30:09.640,4,0
2025-08-31 13:10:24.617,4,1
2025-08-31 13:12:20.227,4,1
2025-08-31 13:12:56.142,4,1
2025-08-31 13:14:42.299,3,0
2025-08-31 13:22:55.761,2,0
2025-08-31 13:25:32.918,3,0
2025-08-31 13:50:23.206,4,1
2025-08-31 14:13:50.191,3,1
2025-08-31 14:18:08.483,2,0
2025-08-31 14:18:16.311,3,1
2025-08-31 14:18:46.521,4,0
2025-08-31 14:19:41.515,4,0
2025-08-31 14:21:10.293,3,0
2025-08-31 14:25:24.196,3,1
2025-08-31 14:30:15.204,2,0
2025-08-31 14:31:01.300,3,0
2025-08-31 14:44:03.154,2,0
2025-08-31 14:54:05.969,3,1
2025-08-31 14:54:17.461,4,0
2025-08-31 15:23:29.804,4,0
2025-08-31 15:40:13.230,4,1
2025-08-31 15:43:18.997,4,0
2025-08-31 15:43:49.515,1,0
2025-08-31 15:43:50.233,2,0
2025-08-31 15:44:16.784,3,0
2025-08-31 15:45:03.273,2,1
2025-08-31 15:45:37.558,2,0
2025-08-31 15:45:58.827,3,0
2025-08-31 15:46:27.035,4,1
2025-08-31 15:46:27.543,3,0
2025-08-31 15:46:54.650,4,1
2025-08-31 15:47:16.422,4,0
2025-08-31 15:47:33.680,2,0
2025-08-31 15:49:18.565,4,0
2025-08-31 15:52:46.432,3,0
2025-08-31 15:58:42.618,4,0
2025-08-31 16:08:29.102,3,0
2025-08-31 16:09:17.100,3,1
2025-08-31 16:13:45.157,3,0
2025-08-31 16:15:41.398,4,0
2025-08-31 16:43:22.308,4,1
2025-08-31 16:43:24.832,4,1
2025-08-31 17:00:49.707,4,1
2025-08-31 17:01:03.497,4,0
2025-08-31 17:05:19.952,1,0
2025-08-31 17:23:14.385,4,1
2025-08-31 17:29:16.895,2,1
2025-08-31 17:38:18.568,4,1
2025-08-31 17:44:06.085,3,0
2025-08-31 17:47:08.207,4,0
2025-08-31 17:50:22.141,4,1
2025-08-31 18:09:27.360,4,0
2025-08-31 18:09:28.960,4,0
2025-08-31 18:09:32.236,4,0
2025-08-31 18:18:14.224,2,0
2025-08-31 18:30:25.158,4,0
2025-08-31 18:44:48.787,4,1
2025-08-31 19:03:30.825,4,0
2025-08-31 19:04:20.252,4,0
2025-08-31 19:30:35.725,4,0
2025-08-31 19:50:52.740,4,0
2025-08-31 20:51:18.352,4,1
2025-08-31 20:58:48.126,3,0
2025-08-31 21:06:04.128,4,0
2025-08-31 21:06:12.012,4,0
2025-08-31 21:21:51.514,4,0
2025-08-31 21:26:35.852,4,0
2025-08-31 21:44:08.363,4,0
2025-08-31 22:07:39.146,3,0
2025-08-31 22:12:18.801,2,0
2025-08-31 22:21:53.131,4,0
2025-08-31 22:24:41.830,4,1
2025-08-31 22:32:07.731,4,0
2025-08-31 22:33:11.158,4,0
2025-08-31 22:41:58.090,4,1
2025-08-31 23:04:45.664,4,0
2025-08-31 23:06:20.477,4,0
2025-08-31 23:06:48.012,4,1
2025-08-31 23:06:57.523,4,0
2025-08-31 23:08:19.482,4,0
2025-08-31 23:09:03.156,4,0
2025-08-31 23:11:26.780,4,1
2025-08-31 23:12:23.143,4,1
2025-08-31 23:14:29.915,4,0
2025-08-31 23:32:41.978,4,0
2025-08-31 23:35:28.967,4,0
2025-08-31 23:47:05.513,4,1
2025-09-01 00:44:17.453,3,0
2025-09-01 00:46:48.423,4,0
2025-09-01 00:50:56.169,4,1
2025-09-01 01:11:31.304,4,0
2025-09-01 03:21:39.066,2,0
2025-09-01 07:26:38.016,4,0
2025-09-01 08:58:48.830,4,0
2025-09-01 09:00:49.962,4,1
2025-09-01 10:05:42.670,3,0
2025-09-01 10:06:17.051,2,1
2025-09-01 10:06:58.453,2,0
2025-09-01 10:07:18.798,3,0
2025-09-01 10:07:27.841,2,0
2025-09-01 10:09:54.957,2,1
2025-09-01 10:12:16.150,2,0
2025-09-01 10:22:43.291,4,1
2025-09-01 10:22:48.695,4,0
2025-09-01 10:23:26.781,2,0
2025-09-01 10:28:41.363,4,0
2025-09-01 10:30:41.706,2,1
2025-09-01 10:30:47.021,3,0
2025-09-01 10:30:53.644,3,1
2025-09-01 10:30:58.004,4,0
2025-09-01 10:31:02.485,1,0
2025-09-01 10:36:02.721,4,0
2025-09-01 10:37:06.124,2,0
2025-09-01 10:47:27.096,3,0
2025-09-01 10:55:24.798,4,0
2025-09-01 10:56:43.710,4,0
2025-09-01 10:57:07.492,2,0
2025-09-01 11:26:20.503,3,0
2025-09-01 11:28:55.985,4,0
2025-09-01 11:31:08.563,4,0
2025-09-01 11:44:44.821,4,1
2025-09-01 11:50:48.977,4,0
2025-09-01 11:51:12.534,2,0
2025-09-01 11:52:36.073,3,0
2025-09-01 11:56:11.817,4,0
2025-09-01 12:07:37.305,4,0
2025-09-01 12:10:14.818,4,1
2025-09-01 12:11:24.317,4,0
2025-09-01 12:13:56.332,3,0
2025-09-01 12:18:07.424,4,1
2025-09-01 12:18:41.254,2,1
2025-09-01 12:18:42.441,4,1
